304.0	521.0
310.0	530.0
316.0	540.0
322.0	551.0
327.0	560.0
333.0	570.0
339.0	582.0
345.0	593.0
351.0	605.0
356.0	615.0
357.0	1064.0
363.0	629.0
364.0	1049.0
5.0	494.0
11.0	480.0
17.0	466.0
23.0	454.0
29.0	442.0
35.0	432.0
41.0	422.0
47.0	413.0
53.0	405.0
54.0	646.0
60.0	397.0
66.0	391.0
67.0	629.0
73.0	384.0
78.0	380.0
79.0	618.0
85.0	376.0
94.0	371.0
95.0	612.0
101.0	368.0
102.0	612.0
108.0	366.0
109.0	614.0
115.0	364.0
121.0	364.0
122.0	621.0
128.0	364.0
129.0	628.0
135.0	364.0
141.0	365.0
142.0	645.0
148.0	367.0
149.0	657.0
155.0	369.0
161.0	371.0
167.0	374.0
173.0	377.0
174.0	710.0
180.0	381.0
181.0	728.0
187.0	386.0
193.0	390.0
194.0	765.0
201.0	396.0
202.0	788.0
208.0	402.0
